x_m,wall_upper_m,wall_lower_m,height_m,area_m2
1.761290322580645051e-01,6.668606713580395307e-02,-6.668606713580395307e-02,1.333721342716079061e-01,3.334303356790197653e-02
1.778064516129032324e-01,6.720237159280510741e-02,-6.720237159280510741e-02,1.344047431856102148e-01,3.360118579640255371e-02
1.794838709677419319e-01,6.771552098902540451e-02,-6.771552098902540451e-02,1.354310419780508090e-01,3.385776049451270225e-02
1.811612903225806592e-01,6.822549267566946352e-02,-6.822549267566946352e-02,1.364509853513389270e-01,3.411274633783473176e-02
1.828387096774193588e-01,6.873226512365379626e-02,-6.873226512365379626e-02,1.374645302473075925e-01,3.436613256182689813e-02
1.845161290322580860e-01,6.923581791013773412e-02,-6.923581791013773412e-02,1.384716358202754682e-01,3.461790895506886706e-02
1.861935483870967856e-01,6.973613170514901538e-02,-6.973613170514901538e-02,1.394722634102980308e-01,3.486806585257450769e-02
1.878709677419354851e-01,7.023318825830418555e-02,-7.023318825830418555e-02,1.404663765166083711e-01,3.511659412915209277e-02
1.895483870967741846e-01,7.072697038562361649e-02,-7.072697038562361649e-02,1.414539407712472330e-01,3.536348519281180824e-02
1.912258064516129119e-01,7.121746195644149124e-02,-7.121746195644149124e-02,1.424349239128829825e-01,3.560873097822074562e-02
1.929032258064516114e-01,7.170464788041022719e-02,-7.170464788041022719e-02,1.434092957608204544e-01,3.585232394020511359e-02
1.945806451612903387e-01,7.218851409460012858e-02,-7.218851409460012858e-02,1.443770281892002572e-01,3.609425704730006429e-02
1.962580645161290382e-01,7.266904755069318600e-02,-7.266904755069318600e-02,1.453380951013863720e-01,3.633452377534659300e-02
1.979354838709677378e-01,7.314623620227210521e-02,-7.314623620227210521e-02,1.462924724045442104e-01,3.657311810113605260e-02
1.996129032258064373e-01,7.362006899220406575e-02,-7.362006899220406575e-02,1.472401379844081315e-01,3.681003449610203287e-02
2.012903225806451646e-01,7.409053584011861260e-02,-7.409053584011861260e-02,1.481810716802372252e-01,3.704526792005930630e-02
2.029677419354838641e-01,7.455762762998140170e-02,-7.455762762998140170e-02,1.491152552599628034e-01,3.727881381499070085e-02
2.046451612903225914e-01,7.502133619776155116e-02,-7.502133619776155116e-02,1.500426723955231023e-01,3.751066809888077558e-02
2.063225806451612909e-01,7.548165431919447166e-02,-7.548165431919447166e-02,1.509633086383889433e-01,3.774082715959723583e-02
2.080000000000000182e-01,7.593857569763932946e-02,-7.593857569763932946e-02,1.518771513952786589e-01,3.796928784881966473e-02
2.096774193548386900e-01,7.639209495203100331e-02,-7.639209495203100331e-02,1.527841899040620066e-01,3.819604747601550165e-02
2.113548387096774173e-01,7.684220760492692370e-02,-7.684220760492692370e-02,1.536844152098538474e-01,3.842110380246346185e-02
2.130322580645161445e-01,7.728891007064891960e-02,-7.728891007064891960e-02,1.545778201412978392e-01,3.864445503532445980e-02
2.147096774193548441e-01,7.773219964351939237e-02,-7.773219964351939237e-02,1.554643992870387847e-01,3.886609982175969619e-02
2.163870967741935714e-01,7.817207448619249710e-02,-7.817207448619249710e-02,1.563441489723849942e-01,3.908603724309624855e-02
2.180645161290322709e-01,7.860853361807999817e-02,-7.860853361807999817e-02,1.572170672361599963e-01,3.930426680903999909e-02
2.197419354838709982e-01,7.904157690387193791e-02,-7.904157690387193791e-02,1.580831538077438758e-01,3.952078845193596895e-02
2.214193548387096699e-01,7.947120504215197945e-02,-7.947120504215197945e-02,1.589424100843039589e-01,3.973560252107598972e-02
2.230967741935483972e-01,7.989741955410750718e-02,-7.989741955410750718e-02,1.597948391082150144e-01,3.994870977705375359e-02
2.247741935483870968e-01,8.032022277233460961e-02,-8.032022277233460961e-02,1.606404455446692192e-01,4.016011138616730480e-02
2.264516129032258240e-01,8.073961782973762547e-02,-8.073961782973762547e-02,1.614792356594752509e-01,4.036980891486881273e-02
2.281290322580645236e-01,8.115560864852351675e-02,-8.115560864852351675e-02,1.623112172970470335e-01,4.057780432426175837e-02
2.298064516129032508e-01,8.156819992929091601e-02,-8.156819992929091601e-02,1.631363998585818320e-01,4.078409996464545800e-02
2.314838709677419504e-01,8.197739714021418100e-02,-8.197739714021418100e-02,1.639547942804283620e-01,4.098869857010709050e-02
2.331612903225806499e-01,8.238320650632202646e-02,-8.238320650632202646e-02,1.647664130126440529e-01,4.119160325316101323e-02
2.348387096774193494e-01,8.278563499887084398e-02,-8.278563499887084398e-02,1.655712699977416880e-01,4.139281749943542199e-02
2.365161290322580767e-01,8.318469032481251579e-02,-8.318469032481251579e-02,1.663693806496250316e-01,4.159234516240625790e-02
